INSERTED,DELETED,MODIFIED,FILENAME
3,3,0,system/priv-app/MusicFX/MusicFX.apk::zipinfo {}
3,3,0,system/priv-app/ONS/ONS.apk::zipinfo {}
3,3,0,system/priv-app/ProxyHandler/ProxyHandler.apk::zipinfo {}
3,3,0,system/priv-app/SettingsProvider/SettingsProvider.apk::zipinfo {}
3,3,0,system/priv-app/SharedStorageBackup/SharedStorageBackup.apk::zipinfo {}
3,3,0,system/priv-app/Shell/Shell.apk::zipinfo {}
3,3,0,system/priv-app/StatementService/StatementService.apk::zipinfo {}
3,3,0,system/priv-app/TeleService/TeleService.apk::zipinfo {}
3,3,0,system/priv-app/Telecom/Telecom.apk::zipinfo {}
3,3,0,system/priv-app/TelephonyProvider/TelephonyProvider.apk::zipinfo {}
3,3,0,system/priv-app/TimeZoneUpdater/TimeZoneUpdater.apk::zipinfo {}
3,3,0,system/priv-app/UserDictionaryProvider/UserDictionaryProvider.apk::zipinfo {}
3,3,0,system/priv-app/VpnDialogs/VpnDialogs.apk::zipinfo {}
15,21,0,system/priv-app::file list
42,185,0,system::file list
